Date,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2025-07-01,88,72,80,0
2025-07-02,81,70,75.5,0
2025-07-03,82,61,71.5,0
2025-07-04,76,60,68,0.05
2025-07-05,79,60,69.5,0
2025-07-06,91,65,78,0
2025-07-07,84,68,76,0
2025-07-08,86,72,79,0
2025-07-09,76,66,71,0.5
2025-07-10,68,62,65,0.79
2025-07-11,81,61,71,0.07
2025-07-12,82,66,74,0
2025-07-13,80,63,71.5,0
2025-07-14,79,66,72.5,0
2025-07-15,90,69,79.5,0
2025-07-16,88,72,80,0
2025-07-17,85,67,76,0.2
2025-07-18,79,59,69,0
2025-07-19,81,65,73,0.1
2025-07-20,76,63,69.5,0.46
2025-07-21,78,61,69.5,0
2025-07-22,79,62,70.5,0
2025-07-23,81,67,74,0
2025-07-24,84,69,76.5,0.01
2025-07-25,85,68,76.5,0.03
2025-07-26,82,64,73,0
2025-07-27,82,64,73,0
2025-07-28,80,65,72.5,0.04
2025-07-29,81,66,73.5,0.09
2025-07-30,80,62,71,0
2025-07-31,80,62,71,0
2025-08-01,80,62,71,0
2025-08-02,80,62,71,0
2025-08-03,80,62,71,0
2025-08-04,79,62,70.5,0
2025-08-05,79,62,70.5,0
2025-08-06,79,62,70.5,0
2025-08-07,79,62,70.5,0
2025-08-08,79,62,70.5,0
2025-08-09,79,61,70,0
2025-08-10,79,61,70,0
2025-08-11,79,61,70,0
2025-08-12,79,61,70,0
2025-08-13,79,61,70,0
2025-08-14,79,61,70,0
2025-08-15,78,61,69.5,0
2025-08-16,78,61,69.5,0
2025-08-17,78,61,69.5,0
2025-08-18,78,61,69.5,0
2025-08-19,78,60,69,0
2025-08-20,78,60,69,0
2025-08-21,78,60,69,0
2025-08-22,78,60,69,0
2025-08-23,77,60,68.5,0
2025-08-24,77,60,68.5,0
2025-08-25,77,59,68,0
2025-08-26,77,59,68,0
2025-08-27,77,59,68,0
2025-08-28,77,59,68,0
2025-08-29,76,59,67.5,0
2025-08-30,76,58,67,0
2025-08-31,76,58,67,0
2025-09-01,76,58,67,0
2025-09-02,75,58,66.5,0
2025-09-03,75,57,66,0
2025-09-04,75,57,66,0
2025-09-05,75,57,66,0
2025-09-06,74,57,65.5,0
2025-09-07,74,56,65,0
2025-09-08,74,56,65,0
2025-09-09,73,56,64.5,0
2025-09-10,73,55,64,0
2025-09-11,73,55,64,0
2025-09-12,72,54,63,0
2025-09-13,72,54,63,0
2025-09-14,72,54,63,0
2025-09-15,71,54,62.5,0
2025-09-16,71,53,62,0
2025-09-17,70,53,61.5,0
2025-09-18,70,53,61.5,0
2025-09-19,70,52,61,0
2025-09-20,69,52,60.5,0
2025-09-21,69,51,60,0
2025-09-22,68,51,59.5,0
2025-09-23,68,51,59.5,0
2025-09-24,68,50,59,0
2025-09-25,67,50,58.5,0
