Date,Item_Sales,Avg_Price,Max_Temp,Min_Temp,Avg_Temp,Precipitation,Store_Hours
2022-01-01,0.0,,49.0,48.0,48.5,0.0,
2022-01-02,232.0,5.049137931034483,48.0,29.0,43.0,0.33,12.0
2022-01-03,135.0,4.916888888888889,28.0,15.0,22.4,0.02,12.0
2022-01-04,38.0,4.542894736842105,30.0,12.0,20.9,0.0,12.0
2022-01-05,77.0,4.731298701298702,43.0,25.0,36.5,0.0,12.0
2022-01-06,177.0,4.938983050847458,37.0,28.0,31.9,0.15,12.0
2022-01-07,144.0,5.054027777777778,28.0,17.0,25.1,0.35,12.5
2022-01-08,186.0,5.264731182795699,26.0,11.0,17.5,0.17,12.5
2022-01-09,185.0,5.0048108108108105,37.0,17.0,32.6,0.0,12.0
2022-01-10,130.0,5.0686923076923085,34.0,15.0,23.0,0.08,12.0
2022-01-11,126.0,4.974047619047619,15.0,2.0,8.6,0.01,12.0
2022-01-12,164.0,4.900060975609756,34.0,4.0,23.2,0.0,12.0
2022-01-13,179.0,4.975921787709497,42.0,28.0,34.7,0.0,12.0
2022-01-14,222.0,4.903648648648648,39.0,12.0,31.8,0.0,12.5
2022-01-15,180.0,4.979,12.0,0.0,4.6,0.0,12.5
2022-01-16,202.0,5.229306930693069,26.0,1.0,16.7,0.0,12.0
2022-01-17,181.0,5.152872928176795,41.0,24.0,33.8,0.68,12.0
2022-01-18,126.0,5.025793650793651,28.0,14.0,22.7,0.68,12.0
2022-01-19,163.0,5.1207975460122706,41.0,14.0,30.2,0.0,12.0
2022-01-20,96.0,4.7696875,39.0,15.0,30.4,0.05,12.0
2022-01-21,111.0,4.999459459459459,18.0,5.0,11.0,0.0,12.5
2022-01-22,186.0,4.963655913978495,24.0,6.0,14.1,0.0,12.5
2022-01-23,200.0,4.9804,30.0,16.0,23.0,0.0,12.0
2022-01-24,131.0,4.8432061068702295,27.0,17.0,23.2,0.01,12.0
2022-01-25,134.0,5.242313432835821,34.0,20.0,27.8,0.09,12.0
2022-01-26,134.0,4.880223880597015,21.0,9.0,15.2,0.0,12.0
2022-01-27,134.0,5.050298507462687,23.0,3.0,14.0,0.0,12.0
2022-01-28,172.0,5.054651162790697,33.0,22.0,27.0,0.0,12.5
2022-01-29,0.0,,26.0,8.0,15.4,0.16,
2022-01-30,121.0,5.185867768595042,19.0,5.0,11.3,0.34,12.0
2022-01-31,99.0,4.587272727272727,27.0,10.0,18.8,0.0,12.0
2022-02-01,137.0,5.073941605839416,28.0,19.0,24.4,0.0,12.0
2022-02-02,139.0,4.796258992805755,43.0,28.0,35.7,0.0,12.0
2022-02-03,165.0,4.95969696969697,45.0,38.0,41.4,0.0,12.0
2022-02-04,132.0,5.231969696969697,50.0,22.0,32.1,1.25,12.5
2022-02-05,176.0,5.1357954545454545,24.0,11.0,17.8,0.97,12.5
2022-02-06,191.0,4.906910994764398,25.0,7.0,16.2,0.0,12.0
2022-02-07,121.0,4.9614049586776865,35.0,20.0,30.2,0.0,12.0
2022-02-08,152.0,4.985131578947368,38.0,29.0,34.6,0.68,12.0
2022-02-09,137.0,4.8794890510948905,42.0,23.0,31.9,0.02,12.0
2022-02-10,181.0,5.0054696132596685,47.0,31.0,38.6,0.0,12.0
2022-02-11,235.0,4.903659574468085,50.0,29.0,40.3,0.0,12.5
2022-02-12,339.0,5.0269616519174045,54.0,32.0,45.3,0.0,12.5
2022-02-13,205.0,5.145512195121951,22.0,22.0,22.0,0.0,12.0
2022-02-14,200.0,5.0832,22.0,9.0,16.4,0.16,12.0
2022-02-15,202.0,5.275297029702971,24.0,6.0,15.1,0.0,12.0
2022-02-16,223.0,4.772600896860986,42.0,13.0,31.2,0.0,12.0
2022-02-17,207.0,5.201449275362319,58.0,44.0,53.3,0.0,12.0
2022-02-18,268.0,5.0555223880597016,59.0,19.0,44.0,0.42,12.5
2022-02-19,319.0,5.199686520376176,32.0,14.0,24.2,0.03,12.5
2022-02-20,374.0,4.961229946524064,30.0,10.0,20.4,0.03,12.0
2022-02-21,281.0,5.026192170818506,54.0,28.0,39.2,0.0,12.0
2022-02-22,230.0,4.879608695652173,55.0,32.0,40.7,0.0,12.0
2022-02-23,347.0,4.958818443804034,63.0,27.0,50.5,0.76,12.0
2022-02-24,300.0,4.943433333333333,26.0,19.0,23.5,0.02,12.0
2022-02-25,99.0,4.9498989898989905,25.0,16.0,20.8,0.28,12.5
2022-02-26,363.0,5.1057851239669425,29.0,10.0,19.5,0.67,12.5
2022-02-27,332.0,5.184156626506025,37.0,16.0,26.3,0.0,12.0
2022-02-28,210.0,5.21752380952381,26.0,14.0,19.7,0.0,12.0
2022-03-01,299.0,4.992374581939799,37.0,13.0,29.2,0.0,12.0
2022-03-02,192.0,5.004270833333334,38.0,30.0,35.4,0.21,12.0
2022-03-03,291.0,4.9402061855670105,34.0,17.0,30.1,0.13,12.0
2022-03-04,344.0,5.12343023255814,29.0,11.0,20.8,0.0,12.5
2022-03-05,361.0,5.186260387811634,38.0,19.0,29.5,0.0,12.5
2022-03-06,376.0,5.044707446808511,61.0,35.0,46.0,0.0,12.0
2022-03-07,245.0,5.241387755102041,57.0,41.0,51.7,0.02,12.0
2022-03-08,283.0,4.896925795053003,39.0,30.0,34.5,0.19,12.0
2022-03-09,233.0,5.199699570815451,34.0,28.0,30.0,0.0,12.0
2022-03-10,296.0,5.182331081081081,46.0,27.0,36.3,0.31,12.0
2022-03-11,331.0,5.060453172205438,51.0,31.0,40.2,0.0,12.5
2022-03-12,309.0,5.222362459546925,41.0,18.0,32.2,0.01,12.5
2022-03-13,404.0,5.123811881188119,18.0,17.0,17.5,0.0,12.0
2022-03-14,253.0,5.365415019762846,47.0,24.0,37.0,0.0,12.0
2022-03-15,310.0,5.188580645161291,60.0,40.0,47.5,0.0,12.0
2022-03-16,329.0,5.177659574468085,57.0,34.0,43.9,0.11,12.0
2022-03-17,285.0,5.382631578947368,53.0,38.0,46.9,0.0,12.0
2022-03-18,417.0,5.200383693045564,70.0,47.0,55.0,0.06,12.5
2022-03-19,340.0,5.323882352941177,55.0,44.0,46.6,0.08,12.5
2022-03-20,444.0,5.5197972972972975,55.0,41.0,48.0,0.46,12.0
2022-03-21,284.0,5.403838028169014,53.0,37.0,45.0,0.0,12.0
2022-03-22,297.0,5.41104377104377,49.0,31.0,39.5,0.0,12.0
2022-03-23,255.0,5.49564705882353,46.0,29.0,37.6,0.0,12.0
2022-03-24,299.0,5.504080267558528,40.0,33.0,36.2,0.48,12.0
2022-03-25,354.0,5.381299435028248,55.0,36.0,42.4,0.61,12.5
2022-03-26,412.0,5.452038834951457,48.0,38.0,42.5,0.0,12.5
2022-03-27,418.0,5.547081339712919,42.0,25.0,36.3,0.14,12.0
2022-03-28,241.0,5.631701244813278,26.0,17.0,21.6,0.0,12.0
2022-03-29,258.0,5.347325581395349,34.0,15.0,24.6,0.0,12.0
2022-03-30,355.0,5.510225352112676,42.0,22.0,33.7,0.0,12.0
2022-03-31,376.0,5.343670212765957,61.0,36.0,48.8,0.0,12.0
2022-04-01,481.0,5.61983367983368,56.0,34.0,49.8,0.63,12.5
2022-04-02,472.0,5.449025423728814,49.0,34.0,40.2,0.17,12.5
2022-04-03,495.0,5.467434343434344,49.0,35.0,40.4,0.0,12.0
2022-04-04,294.0,5.287244897959184,51.0,34.0,41.6,0.12,12.0
2022-04-05,361.0,5.403518005540167,58.0,35.0,46.5,0.0,12.0
2022-04-06,288.0,5.430729166666667,45.0,41.0,43.2,0.0,12.0
