Date,Max_Temp,Avg_Temp,Min_Temp,Precipitation
2022-01-01,49,48.5,48,0
2022-01-02,48,43,29,0.33
2022-01-03,28,22.4,15,0.02
2022-01-04,30,20.9,12,0
2022-01-05,43,36.5,25,0
2022-01-06,37,31.9,28,0.15
2022-01-07,28,25.1,17,0.35
2022-01-08,26,17.5,11,0.17
2022-01-09,37,32.6,17,0
2022-01-10,34,23,15,0.08
2022-01-11,15,8.6,2,0.01
2022-01-12,34,23.2,4,0
2022-01-13,42,34.7,28,0
2022-01-14,39,31.8,12,0
2022-01-15,12,4.6,0,0
2022-01-16,26,16.7,1,0
2022-01-17,41,33.8,24,0.68
2022-01-18,28,22.7,14,0.68
2022-01-19,41,30.2,14,0
2022-01-20,39,30.4,15,0.05
2022-01-21,18,11,5,0
2022-01-22,24,14.1,6,0
2022-01-23,30,23,16,0
2022-01-24,27,23.2,17,0.01
2022-01-25,34,27.8,20,0.09
2022-01-26,21,15.2,9,0
2022-01-27,23,14,3,0
2022-01-28,33,27,22,0
2022-01-29,26,15.4,8,0.16
2022-01-30,19,11.3,5,0.34
2022-01-31,27,18.8,10,0
2022-02-01,28,24.4,19,0
2022-02-02,43,35.7,28,0
2022-02-03,45,41.4,38,0
2022-02-04,50,32.1,22,1.25
2022-02-05,24,17.8,11,0.97
2022-02-06,25,16.2,7,0
2022-02-07,35,30.2,20,0
2022-02-08,38,34.6,29,0.68
2022-02-09,42,31.9,23,0.02
2022-02-10,47,38.6,31,0
2022-02-11,50,40.3,29,0
2022-02-12,54,45.3,32,0
2022-02-13,22,22,22,0
2022-02-14,22,16.4,9,0.16
2022-02-15,24,15.1,6,0
2022-02-16,42,31.2,13,0
2022-02-17,58,53.3,44,0
2022-02-18,59,44,19,0.42
2022-02-19,32,24.2,14,0.03
2022-02-20,30,20.4,10,0.03
2022-02-21,54,39.2,28,0
2022-02-22,55,40.7,32,0
2022-02-23,63,50.5,27,0.76
2022-02-24,26,23.5,19,0.02
2022-02-25,25,20.8,16,0.28
2022-02-26,29,19.5,10,0.67
2022-02-27,37,26.3,16,0
2022-02-28,26,19.7,14,0
2022-03-01,37,29.2,13,0
2022-03-02,38,35.4,30,0.21
2022-03-03,34,30.1,17,0.13
2022-03-04,29,20.8,11,0
2022-03-05,38,29.5,19,0
2022-03-06,61,46,35,0
2022-03-07,57,51.7,41,0.02
2022-03-08,39,34.5,30,0.19
2022-03-09,34,30,28,0
2022-03-10,46,36.3,27,0.31
2022-03-11,51,40.2,31,0
2022-03-12,41,32.2,18,0.01
2022-03-13,18,17.5,17,0
2022-03-14,47,37,24,0
2022-03-15,60,47.5,40,0
2022-03-16,57,43.9,34,0.11
2022-03-17,53,46.9,38,0
2022-03-18,70,55,47,0.06
2022-03-19,55,46.6,44,0.08
2022-03-20,55,48,41,0.46
2022-03-21,53,45,37,0
2022-03-22,49,39.5,31,0
2022-03-23,46,37.6,29,0
2022-03-24,40,36.2,33,0.48
2022-03-25,55,42.4,36,0.61
2022-03-26,48,42.5,38,0
2022-03-27,42,36.3,25,0.14
2022-03-28,26,21.6,17,0
2022-03-29,34,24.6,15,0
2022-03-30,42,33.7,22,0
2022-03-31,61,48.8,36,0
2022-04-01,56,49.8,34,0.63
2022-04-02,49,40.2,34,0.17
2022-04-03,49,40.4,35,0
2022-04-04,51,41.6,34,0.12
2022-04-05,58,46.5,35,0
2022-04-06,45,43.2,41,0
2022-04-07,50,43.2,40,0.12
2022-04-08,57,47.3,42,1.28
2022-04-09,50,45.5,40,0
2022-04-10,48,41,35,0.11
2022-04-11,59,46.5,35,0
2022-04-12,65,53.8,47,0
2022-04-13,71,59.3,47,0.05
2022-04-14,55,47.9,44,0
2022-04-15,62,52.9,44,0.22
2022-04-16,65,51.5,40,0
2022-04-17,43,39,35,0.29
2022-04-18,55,43.2,29,0.01
2022-04-19,50,42.6,38,1.03
2022-04-20,52,43.8,37,0.03
2022-04-21,57,48.1,40,0
2022-04-22,60,52.2,43,0.01
2022-04-23,61,51.8,42,0
2022-04-24,51,47.2,44,0
2022-04-25,63,51.5,41,0
2022-04-26,52,49.6,46,0
2022-04-27,52,47.3,38,0.19
2022-04-28,48,41.3,36,0
2022-04-29,53,44.1,34,0
2022-04-30,58,48.3,37,0
2022-05-01,67,54.7,42,0
2022-05-02,54,47.8,43,0
2022-05-03,54,47.2,44,0.27
2022-05-04,52,49.1,46,0.02
2022-05-05,67,57.6,50,0.09
2022-05-06,61,56.4,51,0
2022-05-07,51,46.6,41,0
2022-05-08,53,45.7,40,0
2022-05-09,58,48.8,39,0
2022-05-10,61,52.3,43,0
2022-05-11,68,56.4,45,0
2022-05-12,76,60.2,51,0
2022-05-13,79,65.3,60,0
2022-05-14,81,70,64,0
2022-05-15,77,67.3,63,0
2022-05-16,79,66.7,61,0.4
2022-05-17,67,59,52,0.77
2022-05-18,69,58.3,48,0
2022-05-19,57,52.7,50,0.07
2022-05-20,74,61.8,51,0.11
